726,588,67,66
50,30,75,62
52,1005,87,83
521,71,85,55
73,208,100,60
94,559,76,64
219,603,86,80
126,425,87,81
140,319,86,72
143,680,90,86
116,816,80,68
149,1011,69,68
651,180,82,73
547,226,92,89
194,983,76,69
225,197,85,50
896,270,76,70
265,479,92,72
295,545,72,53
313,702,83,77
327,869,70,57
324,865,87,67
346,332,57,51
826,344,77,54
347,743,83,77
364,177,73,41
546,386,71,55
410,960,96,62
412,511,87,66
447,918,83,66
928,455,82,65
477,467,96,72
621,471,98,90
473,616,78,57
576,478,89,58
934,496,83,76
557,1026,77,63
589,668,75,66
564,785,82,76
646,902,88,87
670,625,76,73
721,994,64,54
795,857,87,81
827,845,83,67
710,993,101,57
1021,1072,73,54
1050,634,71,54
45,6,84,78
232,12,76,52
605,684,77,60
800,54,100,52
986,166,66,65
294,147,71,63
745,1075,88,85
256,730,113,44
653,38,84,62
309,1054,68,45
568,987,66,56
973,906,85,69
1025,584,64,54
1074,655,93,60
107,519,75,72
413,176,78,73
718,639,78,45
731,760,64,58
530,828,95,87
269,623,99,81
839,308,75,61
201,105,66,53
417,512,74,50
451,764,77,50
114,24,106,64
984,535,71,46
91,631,58,50
175,310,86,41
343,339,80,73
982,424,79,51
1000,951,80,69
551,393,84,49
622,421,93,58
855,643,77,58
837,649,81,56
900,436,89,42
542,713,88,48
952,162,76,62
741,801,80,40
154,566,66,65
487,56,79,53
329,351,92,40
203,337,68,60
755,699,94,54
293,861,58,57
885,192,57,56
371,573,73,52
522,423,74,55
409,595,116,65
683,507,92,55
707,593,61,48
1070,70,73,70
260,809,76,53
905,27,40,37
109,784,69,67
759,747,64,46
281,305,64,58
525,999,82,48
415,675,93,82
432,806,69,59
688,814,83,55
904,729,71,54
909,612,85,50
104,873,70,58
963,96,86,75
411,419,79,66
391,607,77,74
165,853,52,37
700,989,73,71
112,485,95,90
9,950,74,57
647,620,76,60
384,422,94,61
438,352,85,45
35,601,78,55
187,253,65,48
948,489,85,57
659,392,65,58
910,660,109,68
822,567,75,49
181,328,75,40
645,711,81,43
619,355,91,61
572,259,64,53
