1,AbileneChr
2,AcademyofArt
3,AdamsSt
4,Adelphi
5,Adrian
6,AirForce
7,AKAnchorage
8,AKFairbanks
9,Akron
10,ALHuntsville
11,Alabama
12,AlabamaAM
13,AlabamaSt
14,AlbanyGA
15,AlbanyNY
16,AlbertusMagnus
17,Albion
18,Albright
19,AlcornSt
20,AldBroaddus
21,Alfred
22,AlfredSt
23,Allegheny
24,Alma
25,Alvernia
26,AmericanIntl
27,AmericanUniv
28,Amherst
29,AndersonIN
30,AndersonSC
31,AngeloSt
32,AnnaMaria
33,AppalachianSt
34,Arcadia
35,Arizona
36,ArizonaSt
37,ArkLittleRock
38,ArkMonticello
39,ArkPineBluff
40,Arkansas
41,ArkansasSt
42,ArkansasTech
43,ArkansasFS
44,ArmstrongAtl
45,Army
46,Ashland
47,Assumption
48,Auburn
49,Augsburg
50,Augusta
51,AugustanaIL
52,AugustanaSD
53,Aurora
54,AustinCol
55,AustinPeay
56,Averett
57,AzusaPacific
58,Babson
59,BaldwinWallace
60,BallSt
61,BapBiblePA
62,Bard
63,Barry
64,Barton
65,Baruch
66,Bates
67,Baylor
68,Becker
69,Bellarmine
70,Belmont
71,BelmontAbbey
72,Beloit
73,BemidjiSt
74,Benedict
75,BenedictineIL
76,Bentley
77,Berry
78,BethanyLuth
79,BethanyWV
80,BethelMN
81,BethuneCookman
82,Binghamton
83,BirminghamSo
84,BlackHillsSt
85,Blackburn
86,Bloomfield
87,Bloomsburg
88,BluefieldWV
89,Bluffton
90,BoiseSt
91,BostonCollege
92,BostonUniv
93,Bowdoin
94,BowieSt
95,BowlingGreen
96,Bradley
97,Brandeis
98,Brevard
99,Bridgeport
100,BridgewaterMA
101,BridgewaterVA
102,BrockportSt
103,BrooklynCol
104,Brown
105,Bryant
106,BrynAthyn
107,Bucknell
108,BuenaVista
109,Buffalo
110,BuffaloSt
111,Butler
112,BYU
113,BYUHawaii
114,CMichigan
115,CMissouri
116,COklahoma
117,CWashington
118,Cabrini
119,Cairn
120,CalBaptist
121,CalLutheran
122,CalPolySLO
123,CalStLA
124,Caldwell
125,California
126,CaliforniaPA
127,Caltech
128,Calvin
129,Cameron
130,Campbell
131,Canisius
132,Capital
133,CarletonMN
134,CarnegieMellon
135,CarrollWI
136,CarsonNewman
137,Carthage
138,CaseWestern
139,Castleton
140,Catawba
141,Catholic
142,Cazenovia
143,Cedarville
144,CentArkansas
145,Centenary
146,CentenaryNJ
147,CentralConn
148,CentralIA
149,CentralStOH
150,Centre
151,ChadronSt
152,Chaminade
153,Chapman
154,CharlestonSo
155,CharlestonWV
156,Charlotte
157,Chattanooga
158,ChestnutHill
159,CheyneySt
160,Chicago
161,ChicagoSt
162,Chowan
163,ChrBrothers
164,ChrisNewport
165,Cincinnati
166,Citadel
167,CityColNY
168,Claflin
169,ClaremontM.S.
170,Clarion
171,ClarkAtlanta
172,ClarkMA
173,Clarkson
174,ClaytonSt
175,Clemson
176,ClevelandSt
177,CoastGuard
178,CoastalCar
179,Coe
180,Coker
181,ColCharleston
182,ColSprings
183,Colby
184,ColbySawyer
185,Colgate
186,CollegeofNJ
187,Colorado
188,ColoradoChr
189,ColoradoCol
190,ColoradoMines
